All_species,Added_species
Solanum sp.,
Solanum torvum,
Solanum triflorum,
Solanum tuberosum,
Solanum vernei,
Solanum villosum,
Solanum villosum subsp. miniatum,
Solanum villosum subsp. villosum,
Soleirolia seedling,
Soleirolia soleirolii,
Soleirolia sp.,
Solenopsora candicans,
Solenopsora holophaea,
Solenopsora liparina,
Solenopsora seedling,
Solenopsora sp.,
Solenopsora vulturiensis,
Solidago calcicola,
Solidago canadensis,
Solidago flexicaulis,
Solidago gigantea,
Solidago gigantea subsp. serotina,
Solidago graminifolia,
Solidago nemoralis,
Solidago odora,
Solidago rugosa,
Solidago seedling,
Solidago sempervirens,
Solidago sp.,
Solidago speciosa,
Solidago tortifolia,
Solidago virgaurea,
Solidago virgaurea x canadensis = S. x niederederi,
Soliva anthemifolia,
Soliva macrocephala,
Soliva pterosperma,
Soliva seedling,
Soliva sessilis,
Soliva sp.,
Soliva stolonifera,
Solorina bispora,
Solorina crocea,
Solorina saccata,
Solorina seedling,
Solorina sp.,
Solorina spongiosa,
Sonchus arvensis,
Sonchus asper,
Sonchus maritimus,
Sonchus oleraceus,
Sonchus oleraceus x asper,
Sonchus palustris,
Sonchus seedling,
Sonchus sp.,
Sonchus tenerrimus,
Sorbaria grandiflora,
Sorbaria kirilowii,
Sorbaria seedling,
Sorbaria sorbifolia,
Sorbaria sp.,
Sorbaria tomentosa,
Sorbus anglica,
Sorbus aria,
Sorbus aria (c),
Sorbus aria (s),
Sorbus aria agg.,
Sorbus aria x rupicola,
Sorbus aria x torminalis = S. x tomentella,
Sorbus arranensis,
Sorbus aucuparia,
Sorbus aucuparia (c),
Sorbus aucuparia (g),
Sorbus aucuparia (s),
Sorbus aucuparia x aria = S. x thuringiaca,
Sorbus aucuparia x intermedia,
Sorbus bristoliensis,
Sorbus croceocarpa,
Sorbus decipiens,
Sorbus devoniensis,
Sorbus domestica,
Sorbus eminens,
Sorbus hibernica,
Sorbus hupehensis,
Sorbus hybrida,
Sorbus intermedia,
Sorbus intermedia (g),
Sorbus intermedia agg.,
Sorbus lancastriensis,
Sorbus latifolia,
Sorbus latifolia agg.,
Sorbus leptophylla,
Sorbus leyana,
Sorbus minima,
Sorbus porrigentiformis,
Sorbus porrigentiformis x torminalis,
Sorbus pseudofennica,
Sorbus pseudomeinichii,
Sorbus rupicola,
Sorbus rupicola sl,
Sorbus sargentiana,
Sorbus seedling,
Sorbus sp.,
Sorbus subcuneata,
Sorbus torminalis,
Sorbus torminalis (c),
Sorbus torminalis (s),
Sorbus vexans,
Sorbus vilmorinii,
Sorbus whiteana,
Sorbus wilmottiana,
Sorghum arundinaceum,
Sorghum bicolor,
Sorghum halepense,
Sorghum seedling,
Sorghum sp.,
Southbya nigrella,
Southbya seedling,
Southbya sp.,
Southbya tophacea,
Sparaxis grandiflora,
Sparaxis seedling,
Sparaxis sp.,
Sparganium angustifolium,
Sparganium emersum,
Sparganium emersum x angustifolium = S. x diversifolium,
Sparganium erectum,
Sparganium erectum subsp. erectum,
Sparganium erectum subsp. microcarpum,
Sparganium erectum subsp. neglectum,
Sparganium erectum subsp. oocarpum,
Sparganium minimum,
Sparganium natans,
Sparganium seedling,
Sparganium sp.,
Spartina alterniflora,
Spartina anglica,
Spartina anglica (incl. S. x townsendii),
Spartina maritima,
Spartina maritima x alterniflora = S. x townsendii,
Spartina patens,
Spartina pectinata,
Spartina seedling,
Spartina sp.,
Spartium junceum,
Spartium seedling,
Spartium sp.,
Spergula arvensis,
Spergula morisonii,
Spergula seedling,
Spergula sp.,
Spergularia bocconei,
Spergularia bocconii,
Spergularia diandra,
Spergularia marina,
Spergularia media,
Spergularia nicaeensis,
Spergularia purpurea,
Spergularia rubra,
Spergularia rupicola,
Spergularia rupicola x marina,
Spergularia seedling,
Spergularia sp.,
Spermolepis divaricatus,
Spermolepis echinatus,
Spermolepis seedling,
Spermolepis sp.,
Sphaerocarpos michelii,
Sphaerocarpos seedling,
Sphaerocarpos sp.,
Sphaerocarpos texanus,
Sphaerophorus fragilis,
Sphaerophorus globosus,
Sphaerophorus melanocarpus,
Sphaerophorus seedling,
Sphaerophorus sp.,
Sphagnum auriculatum,
Sphagnum auriculatum var auriculatum,
Sphagnum auriculatum var inundatum,
Sphagnum balticum,
Sphagnum capillifolium,
Sphagnum compactum,
Sphagnum contortum,
Sphagnum cuspidatum,
Sphagnum fimbriatum,
Sphagnum fuscum,
Sphagnum girgensohnii,
Sphagnum imbricatum,
Sphagnum lindbergii,
Sphagnum magellanicum,
Sphagnum majus,
Sphagnum molle,
Sphagnum palustre,
Sphagnum papillosum,
Sphagnum platyphyllum,
Sphagnum pulchrum,
Sphagnum quinquefarium,
Sphagnum recurvum,
Sphagnum riparium,
Sphagnum russowii,
Sphagnum seedling,
Sphagnum sp.,
Sphagnum squarrosum,
Sphagnum strictum,
Sphagnum subnitens,
Sphagnum subsecundum,
Sphagnum tenellum,
Sphagnum teres,
Sphagnum warnstorfii,
Sphenolobopsis pearsonii,
Sphenolobopsis seedling,
Sphenolobopsis sp.,
Sphenolobus hellerianus,
Sphenolobus minutus,
Sphenolobus seedling,
Sphenolobus sp.,
Sphenopus divaricatus,
Sphenopus seedling,
Sphenopus sp.,
Sphinctrina anglica,
Sphinctrina leucopoda,
Sphinctrina seedling,
Sphinctrina sp.,
Sphinctrina tubiformis,
Sphinctrina turbinata,
Spilanthes decumbens,
Spilanthes seedling,
Spilanthes sp.,
Spilonema paradoxum,
Spilonema revertens,
Spilonema seedling,
Spilonema sp.,
Spinacia oleracea,
Spinacia seedling,
Spinacia sp.,
Spiraea alba,
Spiraea alba x douglasii = S. x billardii,
Spiraea canescens,
Spiraea cantoniensis x trilobata = S. x vanhouttei,
Spiraea chamaedryfolia,
Spiraea chamaedryfolia subsp. ulmifolia,
Spiraea douglasii,
Spiraea douglasii subsp. douglasii,
Spiraea douglasii subsp. menziesii,
Spiraea douglasii x canescens = S. x brachybotrys,
Spiraea hypericifolia,
Spiraea japonica,
Spiraea media,
Spiraea multiflora x thunbergii = S. x arguta,
Spiraea salicifolia,
Spiraea salicifolia agg.,
Spiraea salicifolia x alba = S. x rosalba,
Spiraea salicifolia x douglasii = S. x pseudosalicifolia,
Spiraea seedling,
Spiraea sp.,
Spiraea tomentosa,
Spiraea trilobata,
Spiranthes aestivalis,
Spiranthes romanzoffiana,
Spiranthes seedling,
Spiranthes sp.,
Spiranthes spiralis,
Spirodela polyrhiza,
Spirodela seedling,
Spirodela sp.,
Splachnum ampullaceum,
Splachnum seedling,
Splachnum sp.,
Splachnum sphaericum,
Splachnum vasculosum,
Sporastatia polyspora,
Sporastatia seedling,
Sporastatia sp.,
Sporastatia testudinea,
Sporobolus africanus,
Sporobolus asper,
Sporobolus caroli,
Sporobolus creber,
Sporobolus cryptandrus,
Sporobolus elongatus,
Sporobolus engleri,
Sporobolus fimbriatus,
Sporobolus indicus,
Sporobolus ioclados,
Sporobolus mitchellii,
Sporobolus pyramidatus,
Sporobolus seedling,
Sporobolus sp.,
Squamarina cartilaginea,
Squamarina lentigera,
Squamarina seedling,
Squamarina sp.,
Stachys alpina,
Stachys annua,
Stachys arvensis,
Stachys byzantina,
Stachys coccinea,
Stachys cretica,
Stachys germanica,
Stachys heraclea,
Stachys macrantha,
Stachys ocymastrum,
Stachys officinalis,
Stachys palustris,
Stachys palustris x sylvatica,
Stachys recta,
Stachys seedling,
Stachys sp.,
Stachys sylvatica,
Stachys sylvatica x palustris = S. x ambigua,
Staphylea colchica,
Staphylea pinnata,
Staphylea seedling,
Staphylea sp.,
Staurothele bacilligera,
Staurothele caesia,
Staurothele clopima,
Staurothele fissa,
Staurothele guestphalica,
Staurothele hymenogonia,
Staurothele rufa,
Staurothele rugulosa,
Staurothele rupifraga,
Staurothele seedling,
Staurothele sp.,
Staurothele succedens,
Stegonia latifolia,
Stegonia seedling,
Stegonia sp.,
Steinchisma hians,
Steinchisma seedling,
Steinchisma sp.,
Steinia geophana,
Steinia seedling,
Steinia sp.,
Stellaria alsine,
Stellaria graminea,
Stellaria holostea,
Stellaria media,
Stellaria neglecta,
Stellaria nemorum,
Stellaria nemorum subsp. montana,
Stellaria nemorum subsp. nemorum,
Stellaria pallida,
Stellaria palustris,
Stellaria seedling,
Stellaria seedling/sp,
Stellaria sp.,
Stenocybe bryophila,
Stenocybe pullatula,
Stenocybe seedling,
Stenocybe septata,
Stenocybe sp.,
Stenocybe tremulicola,
Stephanandra incisa,
Stephanandra seedling,
Stephanandra sp.,
Stereocaulon alpinum,
Stereocaulon condensatum,
Stereocaulon dactylophyllum,
Stereocaulon delisei,
Stereocaulon evolutum,
Stereocaulon glareosum,
Stereocaulon leucophaeopsis,
Stereocaulon nanodes,
Stereocaulon pileatum,
Stereocaulon saxatile,
Stereocaulon seedling,
Stereocaulon sp.,
Stereocaulon spathuliferum,
Stereocaulon symphycheilum,
Stereocaulon tomentosum,
Stereocaulon tornense,
Stereocaulon vesuvianum,
Sternbergia lutea,
Sternbergia seedling,
Sternbergia sp.,
Stevia paniculata,
Stevia seedling,
Stevia sp.,
Sticta canariensis,
Sticta fuliginosa,
Sticta limbata,
Sticta seedling,
Sticta sp.,
Sticta sylvatica,
Stipa ambigua,
Stipa aristiglumis,
Stipa blackii,
Stipa capensis,
Stipa caudata,
Stipa dregeana,
Stipa neesiana,
Stipa nitida,
Stipa papposa,
Stipa scabra,
Stipa scabra subsp. falcata,
Stipa scabra subsp. scabra,
Stipa seedling,
Stipa sp.,
Stipa variabilis,
Stipa verticillata,
Strangospora delitescens,
Strangospora deplanata,
Strangospora microhaema,
Strangospora moriformis,
Strangospora ochrophora,
Strangospora pinicola,
Strangospora seedling,
Strangospora sp.,
Stratiotes aloides,
Stratiotes seedling,
Stratiotes sp.,
Strigula jamesii,
Strigula seedling,
Strigula sp.,
Strigula stigmatella,
Strigula taylorii,
Stuartina hamata,
Stuartina muelleri,
Stuartina seedling,
Stuartina sp.,
Suaeda altissima,
Suaeda maritima,
Suaeda seedling,
Suaeda sp.,
Suaeda vera,
Subularia aquatica,
Subularia seedling,
Subularia sp.,
Succisa pratensis,
Succisa seedling,
Succisa sp.,
Succisella inflexa,
Succisella seedling,
Succisella sp.,
Succowia balearica,
Succowia seedling,
Succowia sp.,
Sulphur seedling,
Sulphur sp.,
Symphoricarpos albus,
Symphoricarpos microphyllus,
Symphoricarpos microphyllus x orbiculatus = S. x chenaultii,
Symphoricarpos orbiculatus,
Symphoricarpos seedling,
Symphoricarpos sp.,
Symphyandra hofmannii,
Symphyandra seedling,
Symphyandra sp.,
Symphytum asperum,
Symphytum asperum x caucasicum,
Symphytum brachycalyx,
Symphytum bulbosum,
Symphytum caucasicum,
Symphytum grandiflorum,
Symphytum officinale,
Symphytum officinale subsp. bohemicum,
Symphytum officinale subsp. officinale,
Symphytum officinale subsp. uliginosum,
Symphytum officinale x asperum = S. x uplandicum,
Symphytum officinale x asperum x grandiflorum = S. 'Hidcote Blue',
Symphytum officinale x asperum x tuberosum,
Symphytum orientale,
Symphytum seedling,
Symphytum sp.,
Symphytum tauricum,
Symphytum tuberosum,
Symphytum tuberosum subsp. nodosum,
Symphytum tuberosum subsp. tuberosum,
Symphytum x uplandicum,
Synalissa seedling,
Synalissa sp.,
Synalissa symphorea,
Syrenia cana,
Syrenia seedling,
Syrenia sp.,
Syringa seedling,
Syringa sp.,
Syringa vulgaris,
Syringa x persica,
Table no,
Table seedling,
Table sp.,
Taeniatherum caput-medusae,
Taeniatherum seedling,
Taeniatherum sp.,
Tagetes erecta,
Tagetes erythrocephala,
Tagetes gracilis,
Tagetes micrantha,
Tagetes minuta,
Tagetes patula,
Tagetes seedling,
Tagetes sp.,
Tagetes tenuifolia,
Tamarix africana,
Tamarix chinensis,
Tamarix gallica,
Tamarix parviflora,
Tamarix seedling,
Tamarix sp.,
Tamarix tetrandra,
Tamus communis,
Tamus seedling,
Tamus sp.,
Tanacetum balsamita,
Tanacetum cinerariifolium,
Tanacetum coccineum,
Tanacetum corymbosum,
Tanacetum leucophyllum,
Tanacetum macrophyllum,
Tanacetum parthenium,
Tanacetum seedling,
Tanacetum sp.,
Tanacetum vulgare,
Taraxacum aberrans,
Taraxacum acroglossum,
Taraxacum acutifidum,
Taraxacum acutifrons,
Taraxacum acutum,
Taraxacum adamii (spe),
Taraxacum adiantifrons,
Taraxacum aequilobum,
Taraxacum aequilobum (tar),
Taraxacum aequisectum,
Taraxacum akteum,
Taraxacum alatum,
Taraxacum alatum (tar),
Taraxacum altissimum,
Taraxacum amarellum,
Taraxacum amplum,
Taraxacum ancistrolobum,
Taraxacum ancistrolobum (tar),
Taraxacum anglicum,
Taraxacum anglicum (pal),
Taraxacum angulare,
Taraxacum angustisquameum,
Taraxacum arenastrum,
Taraxacum argutum,
Taraxacum atactum,
Taraxacum atonolobum,
Taraxacum aurosulum,
Taraxacum aurosulum (tar),
Taraxacum austriacum (ery),
Taraxacum austrinum (pal),
Taraxacum beeftinkii,
Taraxacum berthae,
Taraxacum boekmanii,
Taraxacum brachyglossum,
Taraxacum brachyglossum (ery),
Taraxacum bracteatum,
Taraxacum bracteatum (tar),
Taraxacum breconense,
Taraxacum britannicum,
Taraxacum caledonicum,
Taraxacum caloschistum,
Taraxacum cambricum,
Taraxacum canoviride (tar),
Taraxacum canulum (ery),
Taraxacum celticum,
Taraxacum cenabense,
Taraxacum ceratolobum,
Taraxacum ceratolobum (spe),
Taraxacum cherwellense,
Taraxacum chloroticum,
Taraxacum christiansenii (tar),
Taraxacum chrysophaenum,
Taraxacum ciliare,
Taraxacum clovense,
Taraxacum coartatum,
Taraxacum commixtum,
Taraxacum commixtum (ery),
Taraxacum cophocentrum,
Taraxacum cordatum,
Taraxacum cordatum (tar),
Taraxacum cornubiense,
Taraxacum corynodes,
Taraxacum craspedotum,
Taraxacum craspedotum (spe),
Taraxacum crispifolium (tar),
Taraxacum croceiflorum,
Taraxacum croceiflorum (tar),
Taraxacum croceum (spe),
Taraxacum curtifrons,
Taraxacum cyanolepis,
Taraxacum cyanolepis (tar),
Taraxacum cymbifolium,
Taraxacum cymbifolium (spe),
Taraxacum dahlstedtii,
Taraxacum dahlstedtii (tar),
Taraxacum degelii,
Taraxacum degelii (ery),
Taraxacum densilobum,
Taraxacum diastematicum,
Taraxacum dilaceratum,
Taraxacum dilatatum,
Taraxacum dilatatum (tar),
Taraxacum disseminatum,
Taraxacum disseminatum (ery),
Taraxacum drucei,
Taraxacum dunense,
Taraxacum dunense (ery),
Taraxacum duplidens (tar),
Taraxacum duplidentifrons,
Taraxacum edmondsonianum,
Taraxacum ekmanii,
Taraxacum ekmanii (tar),
Taraxacum euryphyllum,
Taraxacum euryphyllum (spe),
Taraxacum exacutum,
Taraxacum excellens,
Taraxacum eximium (spe),
Taraxacum expallidiforme,
Taraxacum expallidiforme (tar),
Taraxacum exsertiforme,
Taraxacum exsertum,
Taraxacum faeroense,
Taraxacum faeroense (spe),
Taraxacum fagerstroemii,
Taraxacum falcatum,
Taraxacum fasciatum,
Taraxacum fasciatum (tar),
Taraxacum fulgidum,
Taraxacum fulvicarpum,
Taraxacum fulvicarpum (spe),
Taraxacum fulviforme,
Taraxacum fulviforme (ery),
Taraxacum fulvum,
Taraxacum fulvum (ery),
Taraxacum fusciflorum,
Taraxacum geirhildae,
Taraxacum gelertii,
Taraxacum glauciniforme,
Taraxacum glauciniforme (ery),
Taraxacum glaucinum (ery),
Taraxacum gotlandicum,
Taraxacum gotlandicum (ery),
Taraxacum haematicum,
Taraxacum haematicum (tar),
Taraxacum hamatiforme,
Taraxacum hamatiforme (tar),
Taraxacum hamatulum,
Taraxacum hamatum,
Taraxacum hamatum (tar),
Taraxacum hamiferum,
Taraxacum haworthianum,
Taraxacum hepaticum,
Taraxacum hesperium,
Taraxacum hexhamense,
Taraxacum hirsutissimum,
Taraxacum horridifrons,
Taraxacum huelphersianum,
Taraxacum hygrophilum,
Taraxacum inane,
Taraxacum incisum,
Taraxacum inopinatum,
Taraxacum insigne,
Taraxacum insigne (tar),
Taraxacum interveniens,
Taraxacum intumescens,
Taraxacum kernianum,
Taraxacum lacerifolium,
Taraxacum laciniosifrons,
Taraxacum laciniosum,
Taraxacum laciniosum (tar),
Taraxacum lacistophyllum,
Taraxacum lacistophyllum (ery),
Taraxacum laeticolor,
Taraxacum laeticolor (tar),
Taraxacum laetiforme (ery),
Taraxacum laetum (ery),
Taraxacum lainzii (spe),
Taraxacum lamprophyllum,
Taraxacum lancastriense,
Taraxacum lancidens,
Taraxacum landmarkii,
Taraxacum landmarkii (spe),
Taraxacum latens,
Taraxacum laticordatum,
Taraxacum latisectum,
Taraxacum latissimum,
Taraxacum lepidum,
Taraxacum leptodon,
Taraxacum leucopodum,
Taraxacum linguatum (tar),
Taraxacum lingulatum,
Taraxacum lingulatum (tar),
Taraxacum litorale (spe),
Taraxacum longisquameum,
Taraxacum longisquameum (tar),
Taraxacum lucidum,
Taraxacum lunare,
Taraxacum luteum,
Taraxacum macranthoides,
Taraxacum macrolobum,
Taraxacum maculatum,
Taraxacum maculatum (tar),
Taraxacum maculigerum (spe),
Taraxacum maculosum,
Taraxacum margettsii,
Taraxacum marklundii,
Taraxacum marklundii (tar),
Taraxacum melanthoides,
Taraxacum melanthoides (tar),
Taraxacum mimulum,
Taraxacum mucronatum (tar),
Taraxacum multicolorans,
Taraxacum naevosiforme,
Taraxacum naevosiforme (spe),
Taraxacum naevosum,
Taraxacum naevosum (spe),
Taraxacum necessarium,
Taraxacum nietoi,
Taraxacum nigridentatum,
Taraxacum nitidum,
Taraxacum nordstedtii,
Taraxacum nordstedtii (spe),
Taraxacum obliquilobum,
Taraxacum obliquilobum (tar),
Taraxacum obliquum,
Taraxacum obliquum (obl),
Taraxacum oblongatum,
Taraxacum oblongatum (tar),
Taraxacum obtusifrons,
Taraxacum obtusilobum,
Taraxacum ochrochlorum,
Taraxacum oellgaardii,
Taraxacum officinale agg.,
Taraxacum olgae,
Taraxacum orcadense,
Taraxacum ostenfeldii,
Taraxacum oxoniense,
Taraxacum oxoniense (ery),
Taraxacum pachylobum,
Taraxacum pachymerum,
Taraxacum pallescens,
Taraxacum pallescens (tar),
Taraxacum pallidipes,
Taraxacum palustre,
Taraxacum palustre (pal),
Taraxacum palustrisquameum,
Taraxacum pannucium,
Taraxacum pannucium (tar),
Taraxacum pannulatiforme,
Taraxacum pannulatum,
Taraxacum parnassicum,
Taraxacum parvuliceps (tar),
Taraxacum pectinatiforme,
Taraxacum piceatum,
Taraxacum piceatum (tar),
Taraxacum placidum,
Taraxacum placidum (ery),
Taraxacum planum,
Taraxacum platyglossum,
Taraxacum platyglossum (obl),
Taraxacum polyhamatum,
Taraxacum polyodon,
Taraxacum polyodon (tar),
Taraxacum porrigens,
Taraxacum porteri,
Taraxacum praestans (spe),
Taraxacum prionum,
Taraxacum privum (tar),
Taraxacum procerisquameum,
Taraxacum proximiforme,
Taraxacum proximiforme (ery),
Taraxacum proximum,
Taraxacum proximum (ery),
Taraxacum pruinatum,
Taraxacum pseudohamatum,
Taraxacum pseudolacistophyllum (ery),
Taraxacum pseudolarssonii,
Taraxacum pseudonordstedtii,
Taraxacum pseudoproximum,
Taraxacum pseudoretroflexum,
Taraxacum pulchrifolium,
Taraxacum pycnostictum,
Taraxacum pycnostictum (spe),
Taraxacum quadrans,
Taraxacum raunkiaeri (tar),
Taraxacum reclinatum (spe),
Taraxacum remanentilobum,
Taraxacum retroflexum,
Taraxacum retzii,
Taraxacum rhamphodes,
Taraxacum richardsianum,
Taraxacum rubellum,
Taraxacum rubicundum,
Taraxacum rubicundum (ery),
Taraxacum rubrisquameum,
Taraxacum sagittipotens,
Taraxacum sahlinianum,
Taraxacum scanicum,
Taraxacum scoticum,
Taraxacum scotiniforme,
Taraxacum sect. erythrosperma,
Taraxacum sect. obliqua,
Taraxacum sect. palustria,
Taraxacum sect. spectabilia,
Taraxacum sect. vulgaria,
Taraxacum seedling,
Taraxacum sellandii,
Taraxacum sellandii (tar),
Taraxacum semiglobosum,
Taraxacum septentrionale (tar),
Taraxacum serpenticola,
Taraxacum silesiacum (ery),
Taraxacum simile (ery),
Taraxacum sinuatum,
Taraxacum sp.,
Taraxacum speciosum,
Taraxacum spectabile (spe),
Taraxacum spiculatum,
Taraxacum spilophyllum (tar),
Taraxacum stenacrum,
Taraxacum stereodes,
Taraxacum stictophyllum,
Taraxacum stictophyllum (spe),
Taraxacum subbracteatum,
Taraxacum subcyanolepis,
Taraxacum subcyanolepis (tar),
Taraxacum subexpallidum,
Taraxacum subhamatum,
Taraxacum subhuelphersianum,
Taraxacum sublaciniosum (tar),
Taraxacum sublaeticolor,
Taraxacum sublaeticolor (tar),
Taraxacum sublongisquameum,
Taraxacum subnaevosum,
Taraxacum subundulatum,
Taraxacum subundulatum (tar),
Taraxacum subxanthostigma,
Taraxacum sundbergii,
Taraxacum tamesense,
Taraxacum tanylepis,
Taraxacum tanyphyllum,
Taraxacum tenebricans,
Taraxacum tenebricans (tar),
Taraxacum texelense,
Taraxacum tortilobum,
Taraxacum tortilobum (ery),
Taraxacum trilobatum,
Taraxacum tumentilobum,
Taraxacum undulatiflorum,
Taraxacum undulatum,
Taraxacum unguilobum,
Taraxacum unguilobum (spe),
Taraxacum valens,
Taraxacum vastisectum,
Taraxacum wallonicum,
Taraxacum webbii,
Taraxacum xanthostigma,
Taraxacum xanthostigma (tar),
Taraxacum xiphoideum,
Targionia hypophylla,
Targionia seedling,
Targionia sp.,
Taxiphyllum seedling,
Taxiphyllum sp.,
Taxiphyllum wissgrillii,
Taxodium distichum,
Taxodium seedling,
Taxodium sp.,
Taxus baccata,
Taxus baccata (c),
Taxus baccata (g),
Taxus baccata (s),
Taxus seedling,
Taxus sp.,
Tayloria lingulata,
Tayloria longicollis,
Tayloria seedling,
Tayloria sp.,
Teesdalia nudicaulis,
Teesdalia seedling,
Teesdalia sp.,
Telaranea murphyae,
Telaranea nematodes,
Telaranea seedling,
Telaranea sp.,
Telekia seedling,
Telekia sp.,
Telekia speciosa,
Tellima grandiflora,
Tellima seedling,
Tellima sp.,
Teloschistes chrysophthalmus,
Teloschistes flavicans,
Teloschistes seedling,
Teloschistes sp.,
Tephromela aglaea,
Tephromela armeniaca,
Tephromela atra,
Tephromela grumosa,
Tephromela pertusarioides,
Tephromela seedling,
Tephromela sp.,
Tephroseris integrifolia,
Tephroseris integrifolia subsp. integrifolia,
Tephroseris integrifolia subsp. maritima,
Tephroseris palustris,
Tephroseris palustris subsp. congesta,
Tephroseris seedling,
Tephroseris sp.,
Tetracme quadricornis,
Tetracme seedling,
Tetracme sp.,
Tetradontium brownianum,
Tetradontium repandum,
Tetradontium seedling,
Tetradontium sp.,
Tetragonia crystallina,
Tetragonia seedling,
Tetragonia sp.,
Tetragonia tetragonioides,
Tetragonolobus biflorus,
Tetragonolobus maritimus,
Tetragonolobus purpureus,
Tetragonolobus seedling,
Tetragonolobus sp.,
Tetraphis pellucida,
Tetraphis seedling,
Tetraphis sp.,
Tetraplodon angustatus,
Tetraplodon mnioides,
Tetraplodon seedling,
Tetraplodon sp.,
Teucrium botrys,
Teucrium chamaedrys,
Teucrium flavum,
Teucrium fruticans,
Teucrium resupinatum,
Teucrium scordium,
Teucrium scorodonia,
Teucrium seedling,
Teucrium sp.,
Teucrium spinosum,
Thalictrum alpinum,
Thalictrum aquilegiifolium,
Thalictrum delavayi,
Thalictrum flavum,
Thalictrum lucidum,
Thalictrum minus,
Thalictrum seedling,
Thalictrum simplex,
Thalictrum sp.,
Thalictrum speciosissimum,
Thamnobryum alopecurum,
Thamnobryum angustifolium,
Thamnobryum seedling,
Thamnobryum sp.,
Thamnocalamus seedling,
Thamnocalamus sp.,
Thamnocalamus spathiflorus,
Thamnolia seedling,
Thamnolia sp.,
Thamnolia vermicularis,
Thelenella modesta,
Thelenella seedling,
Thelenella sp.,
Thelesperma seedling,
Thelesperma sp.,
Thelesperma trifidum,
Thelidium decipiens,
Thelidium fumidum,
Thelidium impressum,
Thelidium incavatum,
Thelidium microcarpum,
Thelidium minutulum,
Thelidium papulare,
Thelidium pluvium,
Thelidium pyrenophorum,
Thelidium seedling,
Thelidium sp.,
Thelocarpon epibolum,
Thelocarpon impressellum,
Thelocarpon intermediellum,
Thelocarpon laureri,
Thelocarpon lichenicola,
Thelocarpon magnussonii,
Thelocarpon olivaceum,
Thelocarpon pallidum,
Thelocarpon seedling,
Thelocarpon sp.,
Thelocarpon superellum,
Thelomma ocellatum,
Thelomma seedling,
Thelomma sp.,
Thelopsis melathelia,
Thelopsis rubella,
Thelopsis seedling,
Thelopsis sp.,
Thelotrema isidioides,
Thelotrema lepadinum,
Thelotrema monosporum,
Thelotrema seedling,
Thelotrema sp.,
Thelotrema subtile,
Thelypodium lasiophyllum,
Thelypodium seedling,
Thelypodium sp.,
Thelypteris limbosperma,
Thelypteris palustris,
Thelypteris phegopteris,
Thelypteris seedling,
Thelypteris sp.,
Thermopsis montana,
Thermopsis seedling,
Thermopsis sp.,
Thermutis seedling,
Thermutis sp.,
Thermutis velutina,
Thesium arvense,
Thesium humifusum,
Thesium seedling,
Thesium sp.,
Thlaspi alliaceum,
Thlaspi alpestre,
Thlaspi arvense,
Thlaspi caerulescens,
Thlaspi macrophyllum,
Thlaspi perfoliatum,
Thlaspi seedling,
Thlaspi sp.,
Thrombium epigaeum,
Thrombium seedling,
Thrombium sp.,
Thuidium abietinum,
Thuidium abietinum ssp hystricosum,
Thuidium delicatulum,
Thuidium philiberti,
Thuidium recognitum,
Thuidium seedling,
Thuidium sp.,
Thuidium tamariscinum,
Thuja occidentalis,
Thuja plicata,
Thuja seedling,
Thuja sp.,
Thujopsis dolabrata,
Thujopsis seedling,
Thujopsis sp.,
Thymelaea passerina,
Thymelaea seedling,
Thymelaea sp.,
Thymus polytrichus,
Thymus polytrichus subsp. ligusticus,
Thymus praecox arcticus,
Thymus pulegioides,
Thymus seedling,
Thymus serpyllum,
Thymus sp.,
Thymus vulgaris,
Thyridolepis seedling,
Thyridolepis sp.,
Thyridolepis xerophila,
Tiarella cordifolia,
Tiarella seedling,
Tiarella sp.,
Tiarella wherryi,
Tilia cordata,
Tilia cordata (c),
Tilia cordata (g),
Tilia cordata (s),
Tilia cordata x dasystyla = T. x euchlora,
Tilia platyphyllos,
Tilia platyphyllos (c),
Tilia platyphyllos subsp. cordifolia,
Tilia platyphyllos x cordata = T. x europaea,
Tilia seedling,
Tilia sp.,
Tilia tomentosa,
Tilia x vulgaris (c),
Tilia x vulgaris (g),
Tilia x vulgaris (s),
Tillandsia crocata,
Tillandsia seedling,
Tillandsia sp.,
Timmia austriaca,
Timmia norvegica,
Timmia seedling,
Timmia sp.,
Tofieldia pusilla,
Tofieldia seedling,
Tofieldia sp.,
Tolmiea menziesii,
Tolmiea seedling,
Tolmiea sp.,
Tolpis barbata,
Tolpis seedling,
Tolpis sp.,
Tolypella glomerata,
Tolypella intricata,
Tolypella nidifica,
Tolypella prolifera,
Tolypella seedling,
Tolypella sp.,
Tomasellia diffusa,
Tomasellia gelatinosa,
Tomasellia lactea,
Tomasellia seedling,
Tomasellia sp.,
Toninia aromatica,
Toninia caeruleonigricans,
Toninia cervina,
Toninia cumulata,
Toninia diffracta,
Toninia lobulata,
Toninia lurida,
Toninia mesoidea,
Toninia opuntioides,
Toninia oribata,
Toninia pulvinata,
Toninia rosulata,
Toninia seedling,
Toninia sp.,
Toninia squalescens,
Toninia squalida,
Toninia tumidula,
Tordylium aegyptiacum,
Tordylium maximum,
Tordylium seedling,
Tordylium sp.,
Tordylium syriacum,
Torilis arvensis,
Torilis japonica,
Torilis leptophylla,
Torilis nodosa,
Torilis seedling,
Torilis sp.,
Torilis stocksiana,
Torilis tenella,
